Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Oatmeal Stout,Boyne Brewhouse,Stout - Oatmeal,6.2% ABV,61 IBU,3.75
Twin Cherry,New Riga's Brewery,Fruit Beer,6.8% ABV,N/A IBU,3.75
Laserotops,Selfmade Brewery,Sour - Smoothie / Pastry,6% ABV,12 IBU,4.25
Love Memories,New Riga's Brewery,Sour - Fruited Berliner Weisse,4% ABV,N/A IBU,4
Onkel Weber Bayerisch Weißbier,Liquid World GbR,Wheat Beer - Hefeweizen,5.4% ABV,N/A IBU,2.5
Vova,Jaws Brewery,Stout - Russian Imperial,10.5% ABV,N/A IBU,4.25
Onkel Weber Bayerisch Schwarzbier,Liquid World GbR,Schwarzbier,4.9% ABV,N/A IBU,2.75
Белая хатка пшеничное,BEAVER (Пивоваренная компания БИВЕР),Blonde / Golden Ale - Other,5.3% ABV,N/A IBU,2.5
Hallerbos (Халлербос),Brauning Bier (Браунинг Бир),Porter - Other,6% ABV,20 IBU,4
Paranoia,Punchiller,IPA - Imperial / Double,8.5% ABV,80 IBU,4.25
Ikarus 280,Hops Brewery,IPA - Imperial / Double New England / Hazy,7.5% ABV,10 IBU,4
Retro Future,Stamm Brewing,IPA - Imperial / Double,8.5% ABV,80 IBU,4
Pattern Interrupt,Stamm Brewing,IPA - Farmhouse,8.5% ABV,N/A IBU,3.75
Soul,13 Litar,Stout - Milk / Sweet,5.8% ABV,25 IBU,4
Grashovae (Грашовае),Rakovsky Brovar (Раковский Бровар),Lager - Pale,4.3% ABV,N/A IBU,3.5
Milk Stout 2021,Чисто пивоварня,Stout - Milk / Sweet,6.2% ABV,17 IBU,4
Beer Cake,Hops Brewery,IPA - American,6% ABV,40 IBU,3.75
CRYO IPA.Single Hop IDAHO GEM,Hops Brewery,IPA - American,6.6% ABV,45 IBU,4
Vietraź: Limon i sumach,Malanka,Wheat Beer - Witbier / Blanche,5.2% ABV,N/A IBU,3.75
Lander Bräu,H-West B.V.,Lager - Pale,4.9% ABV,21 IBU,2.5
LIDSKAE HARD CHERRY LEMONADE,Lidskae Piva (Лідскае Піва),Shandy / Radler,4.6% ABV,N/A IBU,2.5
Karol Jan El Chiapas,Пивоваренная компания «Аливария» (Alivaria Brewery),Fruit Beer,5.1% ABV,N/A IBU,2.5
Brick By Brick,Main Rule,IPA - New England / Hazy,6.4% ABV,40 IBU,3.75
Vanilla,Brewlok Brewery,IPA - Imperial / Double New England / Hazy,7% ABV,35 IBU,3.75
Big Black Mash,AF Brew,Stout - Imperial / Double Pastry,10% ABV,30 IBU,4.5
Galvanize DDH IPA Cryo Sabro Citra Idaho 7,Paradox,IPA - Imperial / Double New England / Hazy,7.8% ABV,40 IBU,4.25
Тако/Taco,Hophead Brewery,Sour - Tomato / Vegetable Gose,6% ABV,5 IBU,4.75
Running Talus,AF Brew,IPA - New England / Hazy,6.5% ABV,20 IBU,4.25
Insane Satyr,Salden's Brewery,IPA - Red,6.5% ABV,60 IBU,3.5
Imperial Tomato Gose,Salden's Brewery,Sour - Tomato / Vegetable Gose,7% ABV,N/A IBU,3.5
Stay the Same,GAS Brew,IPA - Imperial / Double New England / Hazy,8% ABV,50 IBU,4
Two Faced:Mosaic&Citra,Verden Brewery,IPA - Imperial / Double,8.3% ABV,30 IBU,4.25
Sod's Law,BIERBANK,IPA - American,6.5% ABV,50 IBU,3.75
Polyhops,13 Litar,IPA - Imperial / Double,8% ABV,60 IBU,3.75
Warming,SCREW Brewery,IPA - Belgian,7.8% ABV,20 IBU,3.75
Mitrenha: Zappa & Talus,Malanka,IPA - Imperial / Double,8.8% ABV,80 IBU,4
Alone But Not Lonely: Lingonberry,DIETA / ДИЕТА,Sour - Fruited Gose,7.5% ABV,N/A IBU,4
Walnut Bastard,Selfmade Brewery,Stout - Other,8.2% ABV,24 IBU,4
Десертный джаз,Brewlok Brewery,Sour - Fruited,6.5% ABV,N/A IBU,4.25
Weissbier,Hacker-Pschorr,Wheat Beer - Hefeweizen,5.5% ABV,12 IBU,3.5
Firestarter,Krupiecki Brovar,IPA - Imperial / Double,8% ABV,70 IBU,4
Hoppy Cow: Call Your Honey Say U’ll Late,Mad Frog Brewery,Farmhouse Ale - Other,6.5% ABV,25 IBU,4
Reduction,Verden Brewery,Farmhouse Ale - Saison,6.8% ABV,20 IBU,4.25
Chaliera: Idaho 7,Malanka,IPA - American,6.9% ABV,50 IBU,4.25
"SMTH: Black Currant, Raspberry, Elderberry, Maple Syrup",Paradox,Sour - Smoothie / Pastry,5% ABV,12 IBU,4
Grinder Bean,Paradox,Stout - Coffee,6.9% ABV,20 IBU,4
LIDSKAE Classic (ЛІДСКАЕ Класічнае),Lidskae Piva (Лідскае Піва),Lager - Pale,5.2% ABV,18 IBU,3
Grunberger Premium Hefeweizen,Volfas Engelman,Wheat Beer - Hefeweizen,5% ABV,N/A IBU,3
"Eternal Shadow: Peruvian Coffee, Cinnamon & Vanilla",Mantra,Porter - Imperial / Double Coffee,11.5% ABV,20 IBU,4.25
Wheat the Bastards,Time Bomb Brewery,IPA - White / Wheat,6.5% ABV,50 IBU,4
Warlock Book,Selfmade Brewery,Sour - Other,7% ABV,10 IBU,4
Hop Headshot: Citra,Midnight Project,IPA - Triple,11% ABV,111 IBU,4.25
CRYO IPA.Single Hop IDAHO 7,Hops Brewery,IPA - American,6.6% ABV,45 IBU,4
Eclipse,Solbirs Brewery,Stout - Other,6.8% ABV,20 IBU,3.75
Темная лошадка \ Temnaja Loshadka,Brewlok Brewery,Sour - Fruited,6.9% ABV,N/A IBU,3.75
Palisade,13 Litar,Stout - Irish Dry,6.5% ABV,20 IBU,4.25
Good Morning: Black Flag,Mad Frog Brewery,Stout - Other,6.6% ABV,30 IBU,3.75
It's Always Sunny,Valdsam Bjorn Brewery,Sour - Traditional Gose,6.9% ABV,15 IBU,4
Corsendonk Blanche,Brouwerij Corsendonk,Wheat Beer - Witbier / Blanche,4.8% ABV,11 IBU,3.5
APA Vic Secret & Galaxy,Wolf's Brewery (Волковская Пивоварня),Pale Ale - American,5.5% ABV,27 IBU,3.25
Чешский Эль Темный,Česky Lev (Чешский Лев),Lager - Dark,4.9% ABV,N/A IBU,3
Koronet Pub Draught,Lidskae Piva (Лідскае Піва),Lager - Pale,4.7% ABV,5 IBU,2
Xanna's Double Porter,Double Xanna,Porter - Imperial / Double,8.2% ABV,35 IBU,4
Micro Secret,Konix Brewery,IPA - Session,3% ABV,25 IBU,3.75
Stout,OSTROVICA,Stout - Oatmeal,6.5% ABV,30 IBU,3.75
Маленькая Лошадка (malenkaya loshadka),Brewlok Brewery,Sour - Fruited,6.8% ABV,N/A IBU,3.75
Clausthaler Radler Alkoholfrei / Radler Lemon,Radeberger Gruppe,Non-Alcoholic - Shandy / Radler,0.2% ABV,N/A IBU,2.5
Treat You Right,GAS Brew,IPA - Imperial / Double New England / Hazy,8.5% ABV,50 IBU,4
London Pride,Fuller's Griffin Brewery,Bitter - Session / Ordinary,4.1% ABV,30 IBU,3
Incognito,Robim Good Brewery,IPA - American,5.7% ABV,40 IBU,3.5
Bruler Blonde,Belgian Brew Factory,Belgian Blonde,6.8% ABV,N/A IBU,3.75
CRYO IPA.Single Hop AZACCA,Hops Brewery,IPA - American,6.6% ABV,45 IBU,4
Nick Holodnik,Cosmic City,Sour - Tomato / Vegetable Gose,5.9% ABV,N/A IBU,3.5
People of the Sun,Valaduta Brovar,IPA - New England / Hazy,6.2% ABV,20 IBU,3.75
The First Brew We All Understand,Midnight Project,Farmhouse Ale - Other,6.9% ABV,15 IBU,4
Serenity,13 Litar,IPA - Imperial / Double,8% ABV,65 IBU,4
Everyday is a Copy of a Copy of a Copy,Carousel Brewery,IPA - Triple,10% ABV,85 IBU,4
Slota: Simcoe,Malanka,IPA - Belgian,8% ABV,70 IBU,3.75
Algorithm DC,Zagovor Brewery,Stout - Russian Imperial,13.5% ABV,20 IBU,4.25
Analog Dream,Rewort Brewery,Sour - Fruited,6.9% ABV,15 IBU,4.25
ChocoLatte,13 Litar,Stout - Milk / Sweet,5.3% ABV,20 IBU,3.75
HOPS MOTORS,Hops Brewery,IPA - Red,8.9% ABV,70 IBU,4.25
Pulse.PassionFruit Mango Banana,Hops Brewery,Sour - Fruited,6% ABV,N/A IBU,4.25
Self Destruction,Valaduta Brovar,IPA - Imperial / Double,9.2% ABV,55 IBU,4.5
Tribal,Jungle Brewery,Sour - Fruited,6.9% ABV,15 IBU,3.75
Fat Nelson,AF Brew,IPA - Triple New England / Hazy,10% ABV,25 IBU,4
Smuha: Talus,Malanka,IPA - Imperial / Double New England / Hazy,8.6% ABV,N/A IBU,4
Saĺsa: Chabanera,Malanka,Sour - Tomato / Vegetable Gose,5.5% ABV,N/A IBU,4.5
Амнезия (Amnesia),Hophead Brewery,Stout - Russian Imperial,14% ABV,30 IBU,4
Head Rush,Mantra,Barleywine - Other,12% ABV,30 IBU,4.25
"Casual: Columbus, Amarillo, Centennial",Carousel Brewery,IPA - American,7.3% ABV,70 IBU,4
Skyfall,13 Litar,IPA - American,6.1% ABV,40 IBU,3.75
Кочегар/ Stoker,Hophead Brewery,Stout - Russian Imperial,13% ABV,40 IBU,4.5
Sabro One Love,Jungle Brewery,IPA - Session,5% ABV,40 IBU,4.5
Калекцыя Майстра RASPBERRY FIELDS FOREVER,Lidskae Piva (Лідскае Піва),Wheat Beer - Fruited,4.6% ABV,12 IBU,3
Спакуса,Прамень,Porter - American,6.5% ABV,22 IBU,3.75
Gulden Draak Smoked,Brouwerij Van Steenberge,Smoked Beer,10.5% ABV,26 IBU,3.75
Raspberry Bug,Mad Frog Brewery,Sour - Fruited Gose,5.8% ABV,N/A IBU,3.75
Black Raspberry,AF Brew,Porter - Imperial / Double,13% ABV,30 IBU,4
Brett: Apricot,SCREW Brewery,Wild Ale - Other,6.9% ABV,N/A IBU,4
Broken Sun,Valaduta Brovar,Porter - Other,7.9% ABV,37 IBU,3.75
Trojdzień,Carousel Brewery,Stout - Imperial / Double,8.6% ABV,N/A IBU,4.25
Dark Spin: Vanilla/Coconut,Carousel Brewery,Stout - Milk / Sweet,7.5% ABV,25 IBU,4
Натхненне,Прамень,Stout - Oatmeal,6.5% ABV,15 IBU,3.5
King's Breakfast,Valdsam Bjorn Brewery,Stout - Other,6.1% ABV,30 IBU,4
CRYO IPA.Single Hop MOSAIC,Hops Brewery,IPA - American,6.6% ABV,45 IBU,4
Sights In A Big City,Zagovor Brewery,Sour - Fruited,5% ABV,N/A IBU,4
Areli,Malanka,IPA - Sour,7.7% ABV,N/A IBU,3.75
Strawberry Banana Temptation,Hops Brewery,IPA - Imperial / Double Milkshake,7.8% ABV,25 IBU,4
Maybe Milk?,Brewmen,Stout - Milk / Sweet,6.5% ABV,10 IBU,3.75
Monk's Café Flemish Sour Ale,Brouwerij Van Steenberge,Sour - Flanders Red Ale,5.5% ABV,N/A IBU,4.5
Hefeweizen,Discovery Brewing,Wheat Beer - Hefeweizen,4.8% ABV,12 IBU,3.75
Shake 'n Bake,Main Rule,Stout - Imperial / Double,11% ABV,N/A IBU,4
Trickster (Sriracha Edition),Пивоварня Чаща / Thicket Brewery,Sour - Other,6.5% ABV,N/A IBU,4
Wake Up,SCREW Brewery,Stout - Coffee,6.5% ABV,35 IBU,3.75
Pramień: Batch #01,Malanka,Farmhouse Ale - Saison,6.5% ABV,N/A IBU,3.5
Xtreme Kriek,Brouwerij Mort Subite,Lambic - Kriek,4.3% ABV,N/A IBU,3.25
Black Market Smoothie,GAS Brew,Stout - Pastry,6% ABV,40 IBU,3.75
Адвячорак,Прамень,Porter - Coffee,6.5% ABV,25 IBU,3.75
Galaxy One Love,Jungle Brewery,IPA - Session,5% ABV,40 IBU,4
CRYO IPA.Single Hop CASCADE,Hops Brewery,IPA - American,6.6% ABV,45 IBU,3.75
Are You Reddy,Zavod,Sour - Fruited Berliner Weisse,4% ABV,8 IBU,4
Bathory,Plan B Brewery,Red Ale - American Amber / Red,5.7% ABV,50 IBU,4
"Все, что я хочу / All I Want",Coma Brewery,Stout - Milk / Sweet,6.8% ABV,N/A IBU,4
Vyraj: Manha i truskaŭki,Malanka,IPA - Imperial / Double Milkshake,8% ABV,40 IBU,4
Baltic Cyclone,Carousel Brewery,Porter - Imperial / Double Baltic,10.2% ABV,N/A IBU,4.25
Denninghoff's Premium Pilsener,Denninghoff's,Pilsner - German,4.9% ABV,N/A IBU,3
Props: Ekuanot,Valaduta Brovar,Pale Ale - New England / Hazy,6% ABV,30 IBU,4
ЗИМНИЙ (Wintery),Bakunin Brewing Co.,Stout - Imperial / Double,10% ABV,18 IBU,4
Achel Dubbel,De Achelse Kluis,Belgian Dubbel,8% ABV,24 IBU,3.75
Dr. Diesel Hot Mix Вишня-Персик,Объединённые Пивоварни - Холдинг,Fruit Beer,6% ABV,N/A IBU,2.5
Triple IPA Blackcurrant,Salden's Brewery,IPA - Triple,11% ABV,200 IBU,3.5
Maladzik: Blend #02,Malanka,Wild Ale - Other,6.2% ABV,N/A IBU,3.75
ЯСЛЯНКА,Bakunin Brewing Co.,Sour - Tomato / Vegetable Gose,5% ABV,20 IBU,3.5
"Mary, Stay Home!",Konix Brewery,Sour - Tomato / Vegetable Gose,4% ABV,N/A IBU,3.75
PopGun #2,GAS Brew,Hard Seltzer,5% ABV,N/A IBU,3.75
Индульгенция,ALASKA brewery,Sour - Other Gose,6.3% ABV,N/A IBU,3.75
Кизиловый суп / Dogwood Soup,Hophead Brewery,Sour - Other Gose,6% ABV,5 IBU,4.25
Индийский томатный суп/Indian Tomato Soup,Hophead Brewery,Sour - Tomato / Vegetable Gose,6% ABV,5 IBU,4
Крчик / Քրչիկ «Armenian krchik»,Hophead Brewery,Sour - Other Gose,6% ABV,5 IBU,4.25
Smoked Salsa Roja,Brewmen,Sour - Tomato / Vegetable Gose,5% ABV,5 IBU,4.25
Ле Бодун/ Le Boudune,Hophead Brewery,Sour - Other Gose,6% ABV,5 IBU,3.75
Lipa Naked Ice,Rising Moon Brewery,Mead - Metheglin,6% ABV,N/A IBU,2.25
I Got the Remedy,Mad Frog Brewery,Sour - Fruited,4.8% ABV,N/A IBU,4
Pine Shot,13 Litar,IPA - Imperial / Double,7.3% ABV,70 IBU,4
Liquid Saturation,Selfmade Brewery,Sour - Smoothie / Pastry,6% ABV,12 IBU,4
Russian Imperial Stout V.IV,Jaws Brewery,Stout - Russian Imperial,11% ABV,80 IBU,4
UNTIL IT SLEEPS,COVEN BREWERY,Porter - Imperial / Double Baltic,8.4% ABV,43 IBU,4
Dance Revolution,Big Village Brewery,Sour - Fruited Gose,6% ABV,N/A IBU,4.25
Chupa’s Dank Blaster,Wild Lab,IPA - Imperial / Double New England / Hazy,8% ABV,N/A IBU,4
Lichamanka: Triumph,Malanka,IPA - Imperial / Double,8% ABV,70 IBU,4
Smuha: Sabro,Malanka,IPA - Imperial / Double New England / Hazy,7.6% ABV,30 IBU,4.25
SubNuclear,Nuclear Brewery,Barleywine - Other,12.8% ABV,30 IBU,4.25
Brewer's Profile: Sahti,AF Brew,Farmhouse Ale - Sahti,7% ABV,N/A IBU,3.75
Törökkä,Snowcap Brewing,IPA - New Zealand,7% ABV,55 IBU,3.75
Nameless Enemy,Selfmade Brewery,Stout - Imperial / Double,12.6% ABV,38 IBU,4
CA VA?,Balance Brewery,Farmhouse Ale - Saison,6.8% ABV,20 IBU,4
Moosbacher Saphir,Private Landbrauerei Scheuerer,Märzen,5.8% ABV,N/A IBU,3.5
Extended Mix,Big Village Brewery,IPA - Triple New England / Hazy,9.5% ABV,40 IBU,4
Macro Series: Smoky Peppers,Jaws Brewery,Stout - Imperial / Double,10.5% ABV,80 IBU,4
F*ck the Dust! DDH Mosaic,AF Brew,IPA - Triple New England / Hazy,10% ABV,40 IBU,4.25
Smuha: Strata,Malanka,IPA - Imperial / Double New England / Hazy,8.6% ABV,N/A IBU,4
Yotvingian,Plague Brew,Porter - Imperial / Double Baltic,10.5% ABV,35 IBU,4
Strava: Cadziki,Malanka,Sour - Other,5.8% ABV,N/A IBU,3.75
Death Valley,Big Village Brewery,IPA - Imperial / Double,8.2% ABV,90 IBU,4
City Rider,Main Rule,IPA - American,7.5% ABV,20 IBU,4
Nuclear Laundry (Атомная Прачечная),Jaws Brewery,IPA - American,7% ABV,101 IBU,4.25
Army of One,Plague Brew,Strong Ale - American,10% ABV,55 IBU,3.75
imPEACHment,Punchiller,IPA - American,6.3% ABV,45 IBU,4
Delirium Nocturnum,Delirium - Huyghe Brewery,Belgian Strong Dark Ale,8.5% ABV,24 IBU,3.75
"Maple, Eh?",Mikkeller,Stout - Other,10% ABV,N/A IBU,3.75
Robim Good CRYSTAL,Robim Good Brewery,Lager - Pale,4.9% ABV,8 IBU,3.25
CRYO IPA. Single Hop CITRA,Hops Brewery,IPA - American,6.6% ABV,45 IBU,3.75
Źurek,Knightberg,Sour - Other Gose,4% ABV,N/A IBU,4.25
LIDSKAE Ideal (ЛIДСКАЕ Iдэал),Lidskae Piva (Лідскае Піва),Lager - Pale,5% ABV,13 IBU,3
MindBug,XP Brew,Stout - Russian Imperial,11% ABV,70 IBU,4
Юнга (Calvados Edition),On The Bones Contract Brewery,Stout - Russian Imperial,10% ABV,14 IBU,4.25
Trappistes Rochefort 10,Abbaye Notre-Dame de Saint-Rémy,Belgian Quadrupel,11.3% ABV,27 IBU,4.25
ZEUS,13 Litar,IPA - American,6% ABV,45 IBU,3.75
Youth & Freshness: All Red,DIETA / ДИЕТА,Sour - Fruited Gose,7.5% ABV,N/A IBU,4
Синдром дефицита внимания (СДВГ)/ Attention deficit hyperactivity disorder (ADHD),Hophead Brewery,Stout - American,10.5% ABV,25 IBU,3.75
Tomato Method (Smoky Hot Edition),Selfmade Brewery,Sour - Tomato / Vegetable Gose,5.6% ABV,12 IBU,4
Californication,Mad Frog Brewery,IPA - White / Wheat,6.2% ABV,35 IBU,4
Hush Sabotage,Valaduta Brovar,Sour - Other,7.2% ABV,15 IBU,4.25
Tomato Gose Chili Extra Hot Edition,Salden's Brewery,Sour - Tomato / Vegetable Gose,5% ABV,N/A IBU,3.75
Vir: Batch #01,Malanka,Wild Ale - Other,6.9% ABV,N/A IBU,4.5
Koshey / Кощей,Brewlok Brewery,Stout - Coffee,6.9% ABV,N/A IBU,4
Палитра #3 манго & базилик,Brewlok Brewery,IPA - Milkshake,6.8% ABV,N/A IBU,3.75
Sweet Revenge,Selfmade Brewery,Stout - Milk / Sweet,7% ABV,22 IBU,4
Fog In A Can,Mad Frog Brewery,Sour - Fruited,6% ABV,N/A IBU,3.5
Double You,Jungle Brewery,IPA - Imperial / Double,8.7% ABV,90 IBU,4
Аксамiт,Прамень,Stout - Oatmeal,6.8% ABV,15 IBU,3.75
White In Black,Verden Brewery,Stout - Imperial / Double Milk,9% ABV,N/A IBU,3.5
Cuvée des Jacobins Rouge,Omer Vander Ghinste,Sour - Flanders Red Ale,5.5% ABV,11 IBU,4
FLASHING LIGHTS,Bakunin Brewing Co.,Sour - Smoothie / Pastry,6.5% ABV,18 IBU,3.75
Curry Yuga,Selfmade Brewery,Sour - Other,6.3% ABV,8 IBU,3.75
The Mix of Taste / Gooseberry & Passion Fruit,Konix Brewery,Sour - Fruited,6.5% ABV,12 IBU,3.5
Rising Sun,BIERBANK,IPA - Other,6.7% ABV,50 IBU,3.75
Pear Smoothie,Zavod,Fruit Beer,4% ABV,N/A IBU,3.5
Tropic Mango Smoothie,Brewmen,Sour - Smoothie / Pastry,5.5% ABV,10 IBU,3.75
Soulless,Valdsam Bjorn Brewery,Hard Ginger Beer,4.7% ABV,N/A IBU,3.5
Pulse.BlackCurrant BlueBerry Banana,Hops Brewery,Sour - Fruited,6% ABV,N/A IBU,4.25
Way of Life,Rewort Brewery,IPA - Milkshake,6.9% ABV,28 IBU,4.25
Red Scare,Mitra Brewing Co.,IPA - Sour,7% ABV,30 IBU,3.75
Tomato Method,Selfmade Brewery,Sour - Tomato / Vegetable Gose,5.6% ABV,12 IBU,3.5
Living In the Shadows,Valaduta Brovar,IPA - Imperial / Double Black,10% ABV,40 IBU,3.75
Lose Gooself,Mitra Brewing Co.,IPA - Sour,7% ABV,30 IBU,4
Alcoholic Crime: The Peat Monster,Brew Fiction,Stout - Russian Imperial,11.5% ABV,20 IBU,4
Alcoholic Crime: Port Charlotte,Brew Fiction,Porter - Imperial / Double,10.5% ABV,20 IBU,4
DARK Times,R&D sCREW,IPA - Black / Cascadian Dark Ale,6.9% ABV,69 IBU,3.75
Trasca: Centennial,Malanka,IPA - Triple,10% ABV,70 IBU,3.75
Alcoholic Crime: Blueberries And White Chocolate,Brew Fiction,Porter - Imperial / Double,10.5% ABV,20 IBU,4.5
Икарус,Midnight Project,IPA - Imperial / Double New England / Hazy,8% ABV,N/A IBU,4
Dead Pony Club,BrewDog,IPA - Session,3.8% ABV,35 IBU,3.75
Караван,Прамень,Pale Ale - American,5.8% ABV,33 IBU,4
Hungry Healthy Happy,Wild Lab,Sour - Fruited,6% ABV,N/A IBU,3.75
Just Jungle,Jungle Brewery,IPA - Imperial / Double New England / Hazy,8% ABV,40 IBU,4
Марена,Valdsam Bjorn Brewery,IPA - Other,7.1% ABV,40 IBU,4
Michelada,Valaduta Brovar,Sour - Tomato / Vegetable Gose,5.5% ABV,10 IBU,4.5
Dog Poisoner (coconut+),Mad Frog Brewery,Porter - Other,7.6% ABV,30 IBU,3.75
Белае футра,Прамень,Wheat Beer - Hefeweizen,5.8% ABV,9 IBU,3.75
Alcoholic Crime: Red Wine B.A.,Brew Fiction,Stout - Russian Imperial,11.5% ABV,20 IBU,4
Hop's Endless Love,BIERBANK,IPA - New England / Hazy,6.3% ABV,32 IBU,3.75
Working Solution,13 Litar,Porter - English,5.5% ABV,20 IBU,3.75
In Joy And Sorrow,COVEN BREWERY,Belgian Strong Dark Ale,8.5% ABV,15 IBU,3.75
PONZO,OSTROVICA,Wheat Beer - American Pale Wheat,6.8% ABV,N/A IBU,4
A Piece of Cake,BIERBANK,Porter - Other,7.6% ABV,17 IBU,3.75
White Stork IPA,Balance Brewery,IPA - White / Wheat,5.6% ABV,51 IBU,3.75
Бычье Сердце,Pivot Point,Sour - Tomato / Vegetable Gose,6.5% ABV,9 IBU,3.75
Черный флаг \ Chernyj Flag,Brewlok Brewery,Porter - English,6.5% ABV,N/A IBU,3.75
Dessert Storm,Rewort Brewery,Sour - Fruited,6% ABV,8 IBU,4
Lichamanka: Cashmere,Malanka,IPA - Imperial / Double,8% ABV,70 IBU,4
WICKED GAME,COVEN BREWERY,Sour - Smoothie / Pastry,6% ABV,10 IBU,3.75
Darknet,4BREWERS,Stout - Other,6.9% ABV,N/A IBU,4.25
Пятый Океан Русский Лагер,Moscow Brewing Company (Московская Пивоваренная Компания),Lager - Helles,4% ABV,29 IBU,3
Fridtjof N.,Rewort Brewery,IPA - American,6% ABV,50 IBU,4
Blowing Up: Pineapple & Mango,Stamm Brewing,Sour - Fruited,5% ABV,N/A IBU,4
Our Universe,Pivot Point,IPA - New England / Hazy,6.2% ABV,30 IBU,3.75
VIOLET BEAR,BIERBANK,Sour - Fruited,4.9% ABV,5 IBU,3.75
DIPA,Panzer Brewery,IPA - Imperial / Double,8.5% ABV,85 IBU,3.75
Ivan,Victory Art Brew,Stout - Russian Imperial,13% ABV,100 IBU,4
Копоть Черной Пантеры,4BREWERS,Porter - Smoked,6.5% ABV,31 IBU,3.75
TEARS DON'T FALL,COVEN BREWERY,Sour - Fruited,6.5% ABV,N/A IBU,4.25
Sunset,13 Litar,Pale Ale - American,5.1% ABV,30 IBU,3.5
Унесенные Витом [Зимняя версия],4BREWERS,Wheat Beer - Witbier / Blanche,6.5% ABV,N/A IBU,3.75
Шишки & Иголки,Valdsam Bjorn Brewery,IPA - Other,6% ABV,40 IBU,4
Pavaloka: Medusa,Malanka,IPA - Triple New England / Hazy,10% ABV,N/A IBU,4
Эксперимент Brewmen&Paradox,Brewmen,Stout - Imperial / Double Milk,6.5% ABV,28 IBU,4
Феромоны,ALASKA brewery,IPA - New England / Hazy,6.5% ABV,30 IBU,3.75
Слеза комсомолки,Valdsam Bjorn Brewery,IPA - Milkshake,8.3% ABV,25 IBU,4
Blood Moon,Rewort Brewery,Sour - Tomato / Vegetable Gose,6.5% ABV,N/A IBU,3.75
Sacred Duality,Rewort Brewery,Stout - Imperial / Double Milk,6.9% ABV,27 IBU,4
Weizensonne,Brauhaus Leikeim,Wheat Beer - Hefeweizen,5.4% ABV,N/A IBU,1.75
So Much Caffeine V.2.0  Monsooned Malabar Edition,Bierstaat,Stout - Coffee,6.5% ABV,17 IBU,4.25
Шоколадный имперский стаут,AK Brewery,Stout - Imperial / Double Oatmeal,10% ABV,52 IBU,3.75
Black IPA / Triple Dry Hopped ...,Чисто пивоварня,IPA - Black / Cascadian Dark Ale,5.5% ABV,55 IBU,3.75
Sweet Attraction,4IT 6r3w3ry,Stout - Milk / Sweet,7.5% ABV,20 IBU,3.75
Repeater 2,Zagovor Brewery,Sour - Smoothie / Pastry,7% ABV,10 IBU,4.25
Repeater 1,Zagovor Brewery,Stout - Imperial / Double Pastry,12% ABV,20 IBU,4
"Herb & Berry, You Make Merry: Raspberry With Basil",DIETA / ДИЕТА,Sour - Fruited Gose,7.5% ABV,N/A IBU,4
IN THE END,COVEN BREWERY,IPA - Imperial / Double New England / Hazy,8% ABV,45 IBU,3.75
Eibauer Hefeweizen,Privatbrauerei Eibau,Wheat Beer - Hefeweizen,5.2% ABV,N/A IBU,3.25
VENUS DOOM,COVEN BREWERY,Stout - Imperial / Double,13% ABV,40 IBU,4
Chvalia: Manha i kakos,Malanka,Sour - Fruited,5% ABV,N/A IBU,4
Rock Out,Bierstaat,Porter - Baltic,6.9% ABV,25 IBU,4
Tatalitaryzm,Punchiller,Porter - Imperial / Double,10.8% ABV,30 IBU,4
Spaten München / Münchner Hell / Premium Lager,Spaten-Franziskaner-Löwenbräu-Gruppe,Lager - Helles,5.2% ABV,21 IBU,3.5
Radeberger Pilsner,Radeberger Gruppe,Pilsner - German,4.8% ABV,33 IBU,3.5
Bravada Xmas Bock,Jaws Brewery,Bock - Single / Traditional,6.9% ABV,N/A IBU,3.75
Mystic,Jungle Brewery,Sour - Fruited,7% ABV,14 IBU,3.75
Bridge,Robim Good Brewery,Bitter - Session / Ordinary,4.9% ABV,31 IBU,3.5
Maple Brunch,Rewort Brewery,Porter - Imperial / Double,6.9% ABV,33 IBU,4
Orbital Thirsty: Peach & Pineapple & Passion Fruit,Red Rocket Brewery,Sour - Fruited,7% ABV,N/A IBU,3.75
Kinnermü,Snowcap Brewing,Stout - Milk / Sweet,7% ABV,35 IBU,4.5
Хармс. Том 2 / Harms. Volume 2,Brewlok Brewery,Stout - Russian Imperial,11% ABV,N/A IBU,4.25
KEEP WARM!,BIERBANK,Brown Ale - Other,6.9% ABV,17 IBU,3.75
Clarity,13 Litar,IPA - American,6.1% ABV,40 IBU,3.75
Pink Floyd,Rock-n-Rolla's,Porter - Baltic,8% ABV,25 IBU,3
Вялiкая Мядзведзiца,Прамень,Porter - Baltic,6.9% ABV,23 IBU,3.5
Aktien Original 1857,Bayreuther Bierbrauerei,Lager - Dortmunder / Export,5.3% ABV,18 IBU,3.5
HYPNOPHOBIA,Big Village Brewery,Porter - Imperial / Double Coffee,8.5% ABV,30 IBU,4
Videoclub,Stamm Brewing,IPA - Imperial / Double New England / Hazy,8% ABV,N/A IBU,3.75
